kategori,baslik,kanun_no,mevzuat_tarihi,rega_tarihi ve rega_no,data_text
kanun,DEVLET MEMURLARI KANUNU İLE BAZI KANUNLARDA VE 375 SAYILI KANUN HÜKMÜNDE KARARNAMEDE DEĞİŞİKLİK YAPILMASINA DAİR KANUN,Kanun Numarası                    : 7417,Kabul Tarihi                           : 1/7/2022,Yayımlandığı Resmî Gazete   : Tarih: 5/7/2022        Sayı: 31887
"Yayımlandığı Resmî Gazete   : Tarih: 5/7/2022        Sayı: 31887MADDE 1 ilâ 64 – İlgili Kanunlara işlenmiştir.GEÇİCİ MADDE 1- (1) Bu maddenin yürürlüğe girdiği tarih itibarıyla 11/10/2006 tarihli ve 5549 sayılı Suç Gelirlerinin Aklanmasının Önlenmesi Hakkında Kanunun 2 nci maddesinin birinci fıkrasının (e) bendinde sayılan denetim elemanlarından başvuranlar, Malî Suçları Araştırma Kurulu Başkanlığınca yapılacak sözlü sınavda başarılı olmak şartıyla, 31/12/2022 tarihine kadar Hazine ve Maliye Uzmanı olarak naklen atanırlar. Bu şekilde atananların söz konusu kadrolarda geçen hizmet süreleri Hazine ve Maliye Uzmanı, yardımcılık veya stajyerliklerde geçen hizmet süreleri ise Hazine ve Maliye Uzmanı Yardımcısı kadrolarında geçmiş sayılır. Bunlardan 14/7/1965 tarihli ve 657 sayılı Devlet Memurları Kanununa tabi olmayanların mevcut statülerinde geçen hizmet süreleri her yıl için bir kademe ilerlemesi ve her üç yıl için bir derece yükselmesi verilmek suretiyle değerlendirilir. Bu madde uyarınca Hazine ve Maliye Uzmanı olarak atanacakların sayısı 100’ü geçemez. Başvuru ve sınava ilişkin usul ve esaslar ile bu fıkranın uygulanmasına yönelik diğer hususlar Başkanlıkça belirlenir.(2) 657 sayılı Kanunun 36 ncı maddesinin “Ortak Hükümler” bölümünün (A) fıkrasının (11) numaralı bendinde belirtilen kadrolarda ve mesleğe alınmaları, yetiştirilmeleri ve yeterlikleri aynı veya benzer nitelik arz eden kadrolarda görev yapanlardan merkez teşkilatı kadrolarında bulunanlar ile bu unvanları ihraz etmiş olanlardan Strateji ve Bütçe Başkanlığınca uygun görülenler belirli bir yetiştirme programı sonrası yeterlik sınavına tabi tutularak yeterliklerini almış olmak kaydıyla Strateji ve Bütçe Uzmanı unvanlı kadrolara bu maddenin yürürlüğe girdiği tarihten itibaren 6 ay içinde atanabilir. Bu şekilde atananların sayısı 30’u geçemez. 21/4/2021 tarihi itibarıyla mülga Aile, Çalışma ve Sosyal Hizmetler Bakanlığı kadro ve pozisyonlarında bulunmakla birlikte Kamu Personeli Bilgi Sisteminin geliştirilmesinde, işletilmesinde ve sürdürülmesinde görev yapan personelden Strateji ve Bütçe Başkanlığınca uygun görülenler bu maddenin yürürlüğe girdiği tarihten itibaren 6 ay içinde Strateji ve Bütçe Başkanlığında ilgili emsali kadro ve pozisyonlara naklen atanabilirler. Bu fıkra kapsamında ataması yapılanların önceki kadro ve pozisyonlarında geçirdikleri süreler yeni atandıkları kadrolarda geçmiş sayılır ve bunlardan 375 sayılı Kanun Hükmünde Kararnamenin geçici 12 nci maddesi ve ilgili diğer mevzuat hükümleri uygulananlara ilişkin anılan düzenlemelerin uygulanmasına devam olunur. Bu fıkra kapsamında Strateji ve Bütçe Başkanlığınca naklen atanacak personelin muvafakat işlemleri ilgili kamu kurum ve kuruluşlarınca ivedilikle sonuçlandırılır.(3) Konusu suç teşkil etmemek ve kesinleşmiş bir yargı kararına müstenit olmamak kaydıyla, bu maddenin yürürlük tarihine kadar personeline yemek yardımını nakden ödeyen ya da kupon, kart, fiş, bilet ya da bu mahiyette bir ödeme aracı üzerinden gerçekleştirmek amacıyla bu ödeme araçlarının teminini bütçesinden hizmet alımı yoluyla karşılamış olan ve 25/6/2001 tarihli ve 4688 sayılı Kamu Görevlileri Sendikaları ve Toplu Sözleşme Kanununun 32 nci maddesinin üçüncü fıkrası hükümlerine aykırı olarak sosyal denge tazminatı verdiği tespit edilen il özel idareleri, belediyeler, büyükşehir belediyeleri ve bağlı kuruluşlarının yetkili ve görevli personeli hakkında idari veya mali yargılama ve takibat yapılamaz, başlamış olanlar işlemden kaldırılır.MADDE 65- (1) Bu Kanunun;a) 1 inci, 2 nci, 3 üncü, 4 üncü, 5 inci, 6 ncı, 8 inci, 9 uncu, 10 uncu, 11 inci, 12 nci, 14 üncü, 20 nci, 21 inci, 22 nci, 23 üncü ve 60 ıncı maddeleri 15/1/2023 tarihinde,b) 13 üncü ve 16 ncı maddeleri 2022 yılı Temmuz ayı ödeme döneminden itibaren uygulanmak üzere yayımı tarihinde,c) 15 inci maddesi 15/7/2022 tarihinde,d) 17 nci ve 18 inci maddeleri 2023 yılı Ocak ayı ödeme döneminde,e) 27 nci ve 28 inci maddeleri yayımını izleyen ayın başında,f) Diğer maddeleri yayımı tarihinde,yürürlüğe girer.MADDE 66- (1) Bu Kanunun;a) 62 nci maddesini Türkiye Büyük Millet Meclisi Başkanı,b) Diğer hükümlerini Cumhurbaşkanı,yürütür."
kanun,İSTANBUL FİNANS MERKEZİ KANUNU,Kanun Numarası                    : 7412,Kabul Tarihi                           : 22/6/2022,Yayımlandığı Resmî Gazete   : Tarih: 28/6/2022          Sayı: 31880
"Yayımlandığı Resmî Gazete   : Tarih: 28/6/2022          Sayı: 31880Amaç ve kapsamMADDE 1- (1) Bu Kanunun amacı; Türkiye Cumhuriyeti’nin finansal rekabet gücünü uluslararası alanda artırmak, finansal piyasalar ile ürün ve hizmetlerin gelişmesine ve derinleşmesine katkıda bulunmak, uluslararası finans ve sermaye piyasalarına entegrasyonu güçlendirmek ve bu sayede İstanbul Finans Merkezinin önde gelen küresel finans merkezlerinden biri olmasını sağlamaktır.(2) Bu Kanun, İstanbul Finans Merkezi alanını, İstanbul Finans Merkezinin yönetilmesine ve işletilmesine dair hükümleri, İstanbul Finans Merkezinde gerçekleştirilen faaliyetleri ve bu faaliyetlere dair teşvik, indirim, istisna ve muafiyetleri düzenlemektedir.Tanımlar ve kısaltmalarMADDE 2- (1) Bu Kanunun uygulanmasında;a) Finansal faaliyetler:1) 20/2/1930 tarihli ve 1567 sayılı Türk Parasının Kıymetini Koruma Hakkında Kanun,2) 28/3/2001 tarihli ve 4632 sayılı Bireysel Emeklilik Tasarruf ve Yatırım Sistemi Kanunu,3) 19/10/2005 tarihli ve 5411 sayılı Bankacılık Kanunu,4) 23/2/2006 tarihli ve 5464 sayılı Banka Kartları ve Kredi Kartları Kanunu,5) 3/6/2007 tarihli ve 5684 sayılı Sigortacılık Kanunu,6) 21/11/2012 tarihli ve 6361 sayılı Finansal Kiralama, Faktoring, Finansman ve Tasarruf Finansman Şirketleri Kanunu,7) 6/12/2012 tarihli ve 6362 sayılı Sermaye Piyasası Kanunu,8) 20/6/2013 tarihli ve 6493 sayılı Ödeme ve Menkul Kıymet Mutabakat Sistemleri, Ödeme Hizmetleri ve Elektronik Para Kuruluşları Hakkında Kanun,kapsamında belirtilen faaliyetleri, hizmetleri ve işlemleri,b) Finansal kuruluşlar: Finansal faaliyette bulunan tüzel kişileri, bunların şubelerini, irtibat bürolarını, temsilciliklerini ve ulusal varlık fonlarını,c) İFM: Ekli (1) sayılı koordinatlı kroki ve liste ile tespit edilen İstanbul Finans Merkezi Bölgesini,ç) Kapsam dışı alan: İFM sınırları içerisinde yer alan, ofis alanı dışında kalan ve ofis kullanım amacı dışına özgülenmiş alışveriş merkezi, otel ve benzeri yerlerden oluşan alanı,d) Katılımcı: Katılımcı belgesi alarak ofis alanında faaliyet gösterecek gerçek ve tüzel kişileri, bunların şubeleri ile temsilciliklerini, adi ortaklıkları, irtibat bürolarını, bölgesel yönetim merkezlerini ve ulusal varlık fonlarını,e) Katılımcı belgesi: Katılımcıya ofis alanında yer alan ilgili bağımsız bölüm ve ortak alanlardan yararlanma imkânı veren; düzenlenmesine, askıya alınmasına ve iptal edilmesine ilişkin usul ve esasların uygulama yönetmeliğinde belirlendiği belgeyi,f) Ofis alanı: Katılımcı belgesi almak suretiyle İFM sınırları içerisinde kullanılabilen, ofis kullanım amacına özgülenmiş bağımsız bölümlerden oluşan alanı,g) Yönetici şirket: Bu Kanun kapsamında verilen görev ve yetkileri kullanmak üzere Türkiye Varlık Fonu tarafından kurulan ve özel hukuk hükümlerine tabi olarak faaliyet gösteren anonim şirketi,ifade eder.Alan ve katılımcı belgesiMADDE 3- (1) Ekli (1) sayılı koordinatlı kroki ve liste ile tespit edilen alan, bu Kanun ve ilgili diğer kanunlar kapsamında yer alan faaliyetlerin yürütüleceği İFM olarak belirlenmiştir.(2) Kapsam dışı alan hakkında 6 ncı, 7 nci ve 8 inci maddeler uygulanmaz.(3) Ofis alanında faaliyet göstermek üzere katılımcılara Cumhurbaşkanlığı Finans Ofisi tarafından katılımcı belgesi verilir.(4) Katılımcı belgesi verilmesine, katılımcı belgesi muafiyet koşullarına, katılımcı belgesinin askıya alınması ve iptaline ilişkin hususlar dâhil katılımcı belgesine dair usul ve esaslar uygulama yönetmeliğinde düzenlenir.Tek durak büroMADDE 4- (1) Katılımcıların faaliyetlerine ilişkin izin, ruhsat, lisans ve benzeri onay başvuruları ile bunların çalışanlarına ve bu çalışanların bakmakla yükümlü olduğu kişilere ilişkin izin ve onay gibi başvuruların yapılabilmesi ve bu başvuru süreçlerinin hızlandırılması amacıyla kamu kurum ve kuruluşlarının ilgili birimlerinin görev alacağı tek durak büro oluşturulur.(2) Tek durak büroda; Çalışma ve Sosyal Güvenlik Bakanlığı, Çevre, Şehircilik ve İklim Değişikliği Bakanlığı, Hazine ve Maliye Bakanlığı, İçişleri Bakanlığı, Ticaret Bakanlığı temsilcileri ile bu bakanlıklarca gerekli görülmesi hâlinde bunların bağlı, ilgili, ilişkili kuruluşları veya bu bakanlıkların denetiminde olan kamu kurum ve kuruluşlarının temsilcileri ve ilgili ilçe belediyesi temsilcileri yer alır.(3) İFM’de gerçekleştirilecek iş ve işlemlerin tek elden takibini yapmak ve tek durak büroda yer alan kamu kurum ve kuruluşları arasındaki koordinasyonu sağlamak amacıyla tek durak büro, ilgili mevzuat hükümleri saklı kalmak kaydıyla, Cumhurbaşkanlığı Finans Ofisi tarafından sevk ve idare edilir. İhtiyaç duyulması hâlinde farklı bakanlık, kamu kurum ve kuruluşları da tek durak büroya dâhil edilebilir. Tek durak büronun işleyişine dair usul ve esaslar uygulama yönetmeliğinde düzenlenir.Finansal hizmet ihracatıMADDE 5- (1) Katılımcı belgesi alarak finansal faaliyet gösteren kuruluşların yurt dışında yerleşik kişilere sundukları finansal hizmetler, hizmetten nihai olarak yurt dışında faydalanılması koşuluyla, finansal hizmet ihracatı olarak değerlendirilir.(2) Finansal kuruluşların kendi nam ve hesabına gerçekleştirdikleri türev işlemleri, portföylerine varlık alma veya portföylerinden varlık satma işlemleri ile yurt içinde yerleşik kişilerin tasarruflarını yurt dışına çıkaran faaliyetleri, hizmetleri ve işlemleri finansal hizmet ihracatı olarak değerlendirilmez.Vergi ve diğer mali yükümlülüklere ilişkin istisna ve indirimlerMADDE 6- (1) Katılımcı belgesi almış finansal kuruluşlar tarafından İFM’de gerçekleştirilen finansal hizmet ihracatı niteliğindeki;a) Faaliyetler kapsamında elde edilen kazançların %75’i kurumlar vergisi matrahının tespitinde, kurumlar vergisi beyannamesi üzerinde ayrıca gösterilmek şartıyla, kurum kazancından indirilir.b) İşlemler ile bu işlemler nedeniyle lehe alınan paralar banka ve sigorta muameleleri vergisinden müstesnadır.c) Faaliyetlere ilişkin işlemler her türlü harçtan, bu işlemlere ilişkin düzenlenen kâğıtlar damga vergisinden müstesnadır.(2) Katılımcı belgesi almış finansal kuruluşların İFM’de istihdam ettikleri personele ödenen aylık ücretin gerçek safi değerinin; yurt dışında en az beş yıllık mesleki tecrübeye sahip kişilerde %60’ı, yurt dışında en az on yıllık mesleki tecrübeye sahip kişilerde ise %80’i gelir vergisinden müstesnadır. Bu fıkra kapsamında belirtilen istisna, İFM’de çalışmaya başlamadan önceki son üç yılda Türkiye’de çalışmamış olan personelin ücret gelirlerine uygulanır.(3) İFM’de yer alan taşınmazların kiralanmasına dair işlemler her türlü harçtan ve bu işlemlere ilişkin düzenlenen kâğıtlar damga vergisinden müstesnadır.(4) En az üç ülkede aktif olarak faaliyet gösteren katılımcıların bölgesel hazine ve finansal yönetim merkezleri hakkında da bu madde hükümleri uygulanır.Ortak düzenlemelerMADDE 7- (1) Katılımcıların tutmak zorunda oldukları defterler ile düzenleyecekleri belgelerin yabancı para birimiyle tutulabilmesi ve düzenlenebilmesine ilişkin olarak, 4/1/1961 tarihli ve 213 sayılı Vergi Usul Kanunu ile 13/1/2011 tarihli ve 6102 sayılı Türk Ticaret Kanunu hükümlerine bağlı olmaksızın düzenleme yapmaya Hazine ve Maliye Bakanlığı yetkilidir.(2) Katılımcıların kendi aralarında ve İFM’de yürüttükleri faaliyetler kapsamında düzenlenen her nevi muamele, mukavele ve muhabere hakkında 10/4/1926 tarihli ve 805 sayılı İktisadi Müesseselerde Mecburi Türkçe Kullanılması Hakkında Kanunun 1 inci ve 3 üncü maddeleri uygulanmaz.(3) Katılımcıların kendi aralarında İFM’de yürüttükleri faaliyetler kapsamında, katılımcıların faaliyetlerinin tabi olduğu mevzuata aykırı olmaması kaydıyla, özel hukuka tabi olarak yaptıkları her nevi işlem ve sözleşmelerde serbestçe hukuk seçimi yapılabilir.(4) En az üç ülkede aktif olarak faaliyet gösteren katılımcıların bölgesel hazine ve finansal yönetim merkezleri hakkında da bu madde hükümleri uygulanır.Yabancı personel istihdamıMADDE 8- (1) İFM’de faaliyet gösterecek katılımcılar ile en az üç ülkede aktif olarak faaliyet gösteren katılımcıların bölgesel hazine ve finansal yönetim merkezleri, Çalışma ve Sosyal Güvenlik Bakanlığı tarafından 28/7/2016 tarihli ve 6735 sayılı Uluslararası İşgücü Kanunu uyarınca düzenlenen çalışma izni ile yabancı uyruklu personel çalıştırabilir. Bu kapsamda yapılacak çalışma izni başvuruları 6735 sayılı Kanunun 16 ncı maddesi çerçevesinde istisnai olarak değerlendirilir.Taşınmazlara ilişkin düzenlemelerMADDE 9- (1) İFM’de bulunan taşınmazlar, yalnızca projesinde ve yönetim planında belirlenen amaçlar doğrultusunda kullanılabilir. İFM’de her tür ve ölçekteki mekânsal plan, parselasyon planı, arsa ve arazi düzenlemesi, jeolojik ve jeoteknik etüt, mikro bölgeleme, harita ve kentsel tasarım projeleri yapmaya, yaptırmaya ve onaylamaya Çevre, Şehircilik ve İklim Değişikliği Bakanlığı yetkilidir.(2) İFM yönetim planı ve işletme projesi, yönetici şirket tarafından hazırlanarak resen tescil ettirilir.(3) Katılımcı belgesinin herhangi bir sebeple iptal edilmesi durumunda, katılımcıların İFM’de faaliyette bulunmak üzere yaptıkları kira sözleşmesi de kendiliğinden sona erer. Kira sözleşmesi tapuya şerh edilmişse yönetici şirketin talebiyle şerh terkin edilir. Bu şekilde sona eren kira sözleşmelerine konu taşınmazların tahliyesi hakkında 4/12/1984 tarihli ve 3091 sayılı Taşınmaz Mal Zilyedliğine Yapılan Tecavüzlerin Önlenmesi Hakkında Kanun hükümleri uygulanır.YönetmelikMADDE 10- (1) Bu Kanunun uygulanmasına ilişkin usul ve esaslar ile diğer hususlar Cumhurbaşkanı tarafından çıkarılan uygulama yönetmeliğinde düzenlenir.Kurumlar vergisine ve harçlara ilişkin ilave muafiyetGEÇİCİ MADDE 1- (1) 6 ncı maddenin birinci fıkrasının (a) bendinde yer alan %75 oranı, kurumların 2022 ila 2031 yılları vergilendirme dönemlerine ait kurum kazançları için %100 olarak uygulanır. Bu dönemler özel hesap dönemi tayin edilen kurumlar için ilgili yıllar içinde başlayan hesap dönemlerini kapsar.(2) Katılımcı belgesi almış finansal kuruluşların İFM’de bulunan merkez ve şubelerinden, 2/7/1964 tarihli ve 492 sayılı Harçlar Kanunu gereğince alınması gereken finansal faaliyet harçları, bu Kanunun yürürlük tarihinden itibaren beş yıl süreyle alınmaz. Kanunun yürürlük tarihi itibarıyla tahakkuk etmiş harçlar terkin edilmez, tahsil olunanlar iade edilmez.İstanbul Finans Merkezi Bölgesinin yönetilmesine dair geçiş hükmüGEÇİCİ MADDE 2- (1) İFM’de tüm altyapı ve üstyapının işletilmesi, yönetilmesi, bağımsız bölümlerin ve alanların kiralanması ile kamuya ait olan ve imar planında belirlenen fonksiyonlar doğrultusunda ilgili kurumlara tahsis edilmiş alanlar hariç olmak üzere umumi hizmetlere ayrılmış yol, meydan, yeşil alan, park ve benzeri yerlere dair her türlü yönetim faaliyeti yirmi yıl süreyle yönetici şirket tarafından gerçekleştirilir.(2) 23/6/1965 tarihli ve 634 sayılı Kat Mülkiyeti Kanunu kapsamında kat malikleri kurulu, ada temsilciler kurulu ve toplu yapı temsilciler kuruluna ait yetkiler İFM’de bulunan taşınmazlar açısından yirmi yıl süreyle yönetici şirket tarafından kullanılır.YürürlükMADDE 11- (1) Bu Kanun yayımı tarihinde yürürlüğe girer.YürütmeMADDE 12- (1) Bu Kanun hükümlerini Cumhurbaşkanı yürütür.Eki için tıklayınız."
kanun,SPOR KULÜPLERİ VE SPOR FEDERASYONLARI KANUNU,Kanun Numarası                    : 7405,Kabul Tarihi                            : 22/4/2022,Yayımlandığı Resmî Gazete   : Tarih: 26/4/2022         Sayı: 31821
